label,T,tensor_GB,base_GB,peak_GB,delta_GB,ratio,seconds,nullity,certified,status,upload_alloc_GB,sketch_alloc_GB,whiten_alloc_GB,restricted_alloc_GB,solve_alloc_GB,lift_alloc_GB,filter_alloc_GB,verify_alloc_GB,restrict_ops_alloc_GB
video 320x240x10x3,Float64,0.0171661376953125,0.68707275390625,1.0985107421875,0.41143798828125,23.968,14.619611978530884,3,true,ok,3.427267074584961e-7,0.9950955510139465,0.058329418301582336,0.025690913200378418,2.5406710505485535,0.0,0.012550100684165955,0.3845508247613907,0.07368817925453186
video 320x240x10x3,Float32,0.00858306884765625,1.1018524169921875,1.154022216796875,0.0521697998046875,6.078222222222222,10.693649053573608,3,true,ok,3.427267074584961e-7,0.8219075947999954,0.02106529474258423,0.0069481730461120605,1.5731747448444366,0.0,0.018899381160736084,0.3080327957868576,0.057480230927467346
video 320x240x10x3,Float16,0.004291534423828125,1.154022216796875,1.154022216796875,0.0,0.0,6.7070159912109375,3,false,ok,3.427267074584961e-7,0.3390398919582367,0.01307670772075653,0.0005312263965606689,0.8711709678173065,0.0,3.2633543014526367e-6,0.15252263844013214,0.01530320942401886
video 320x240x30x3,Float64,0.0514984130859375,1.154022216796875,1.61407470703125,0.460052490234375,8.933333333333334,6.951808929443359,3,true,ok,3.427267074584961e-7,0.01993618905544281,0.02715502679347992,0.0008337795734405518,1.484500676393509,0.0,0.003428325057029724,0.025152474641799927,0.018136367201805115
video 320x240x30x3,Float32,0.02574920654296875,1.6140899658203125,1.6946258544921875,0.080535888671875,3.1277037037037037,4.147838830947876,3,true,ok,3.427267074584961e-7,0.008949771523475647,0.013741716742515564,0.00041109323501586914,0.6899224519729614,0.0,0.0025299638509750366,0.012812390923500061,0.009156391024589539
video 320x240x30x3,Float16,0.012874603271484375,1.6946563720703125,1.7075653076171875,0.012908935546875,1.0026666666666666,4.1508119106292725,3,false,ok,3.427267074584961e-7,0.040489837527275085,0.013741716742515564,0.00041109323501586914,0.6899224519729614,0.0,3.4421682357788086e-6,0.10778017342090607,0.010056734085083008
sphere d=100 valence=3,Float64,0.007450580596923828,1.709136962890625,1.815185546875,0.106048583984375,14.2336,12.163769006729126,3,true,ok,3.427267074584961e-7,0.18699170649051666,0.03455570340156555,0.010615378618240356,2.4461754262447357,0.0,3.243982791900635e-5,0.11571525037288666,0.21633438766002655
sphere d=100 valence=3,Float32,0.003725290298461914,1.815185546875,1.815704345703125,0.000518798828125,0.139264,5.107432842254639,2,false,ok,3.427267074584961e-7,0.17889876663684845,0.010773777961730957,0.004780024290084839,0.8096507638692856,0.0,1.7896294593811035e-5,0.0855647474527359,0.1513652801513672
sphere d=100 valence=3,Float16,0.001862645149230957,1.81573486328125,1.8165435791015625,0.0008087158203125,0.434176,5.327161073684692,3,false,ok,3.427267074584961e-7,0.1596970111131668,0.0036704838275909424,0.00020962953567504883,0.6747749447822571,0.0,5.276501178741455e-5,0.17202891409397125,0.034162670373916626
sphere d=150 valence=3,Float64,0.02514570951461792,1.8165435791015625,1.968231201171875,0.1516876220703125,6.032346074074074,10.609968900680542,3,true,ok,3.427267074584961e-7,0.018919751048088074,0.015302151441574097,0.0007131695747375488,2.8325872123241425,0.0,3.243982791900635e-5,0.06241875886917114,0.12810643017292023
sphere d=150 valence=3,Float32,0.01257285475730896,1.968231201171875,1.968231201171875,0.0,0.0,4.205997943878174,3,false,ok,3.427267074584961e-7,0.006932064890861511,0.007928669452667236,0.00035840272903442383,0.8496665507555008,0.0,1.7896294593811035e-5,0.03217345476150513,0.06888417899608612
sphere d=150 valence=3,Float16,0.00628642737865448,1.968231201171875,1.968231201171875,0.0,0.0,7.759644985198975,3,false,ok,3.427267074584961e-7,0.01959700882434845,0.007928669452667236,0.00035840272903442383,1.3464816510677338,0.0,6.337463855743408e-5,0.21534740924835205,0.07342073321342468
